"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1259","Select the last option from the programming language dropdown","chromium","Sun Apr 19 09:28:11 UTC 2026","passed","Sun Apr 19 09:28:12 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","875","Dismiss a prompt dialog and verify no input is captured","chromium","Sun Apr 19 09:28:02 UTC 2026","passed","Sun Apr 19 09:28:03 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","784","Fill today's date in the date input and verify the value","chromium","Sun Apr 19 09:28:09 UTC 2026","passed","Sun Apr 19 09:28:10 UTC 2026","Date Picker Tests","datepicker.spec.ts","",""
"","871","Verify toast notification appears after triggering","chromium","Sun Apr 19 09:28:03 UTC 2026","passed","Sun Apr 19 09:28:04 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","981","Verify invalid email format shows validation error","chromium","Sun Apr 19 09:28:28 UTC 2026","passed","Sun Apr 19 09:28:29 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","846","Verify required field errors appear on empty submit","chromium","Sun Apr 19 09:28:20 UTC 2026","passed","Sun Apr 19 09:28:20 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","1431","Verify selected value is displayed after selection","chromium","Sun Apr 19 09:28:10 UTC 2026","passed","Sun Apr 19 09:28:11 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","581","Verify input field text can be cleared successfully","chromium","Sun Apr 19 09:28:43 UTC 2026","passed","Sun Apr 19 09:28:44 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","568","Verify input placeholder disappears on typing","chromium","Sun Apr 19 09:28:41 UTC 2026","passed","Sun Apr 19 09:28:42 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","694","Verify getAttribute returns correct readonly attribute value","chromium","Sun Apr 19 09:28:45 UTC 2026","passed","Sun Apr 19 09:28:45 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","789","Get Button X & Y Coordinates","chromium","Sun Apr 19 09:28:05 UTC 2026","passed","Sun Apr 19 09:28:05 UTC 2026","Button Tests","buttons.spec.ts","",""
"","830","Accept a confirm dialog and verify accepted state","chromium","Sun Apr 19 09:28:01 UTC 2026","passed","Sun Apr 19 09:28:02 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","1350","Verify reset button clears all fields","chromium","Sun Apr 19 09:28:33 UTC 2026","passed","Sun Apr 19 09:28:34 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","555","Verify text present inside input field matches expected value","chromium","Sun Apr 19 09:28:42 UTC 2026","passed","Sun Apr 19 09:28:43 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","783","Disabled Button","chromium","Sun Apr 19 09:28:06 UTC 2026","passed","Sun Apr 19 09:28:06 UTC 2026","Button Tests","buttons.spec.ts","",""
"","953","Close a modal/sweet alert using the Cancel button","chromium","Sun Apr 19 09:28:03 UTC 2026","passed","Sun Apr 19 09:28:04 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","1012","Accept a simple browser alert and verify it closes","chromium","Sun Apr 19 09:28:00 UTC 2026","passed","Sun Apr 19 09:28:01 UTC 2026","Alert Verifications","alerts.spec.ts","",""
