"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","956","Verify gender radio button selection","chromium","Sun Apr 19 09:44:20 UTC 2026","passed","Sun Apr 19 09:44:21 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","744","Verify password mismatch shows confirm password error","chromium","Sun Apr 19 09:44:17 UTC 2026","passed","Sun Apr 19 09:44:17 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","1285","Verify success message displays submitted name","chromium","Sun Apr 19 09:44:18 UTC 2026","passed","Sun Apr 19 09:44:19 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","2876","Click and Hold for 1.5 sec","chromium","Sun Apr 19 09:44:03 UTC 2026","passed","Sun Apr 19 09:44:06 UTC 2026","Button Tests","buttons.spec.ts","",""
"","926","Close a modal/sweet alert using the Cancel button","chromium","Sun Apr 19 09:43:59 UTC 2026","passed","Sun Apr 19 09:44:00 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","1481","Verify reset button clears all fields","chromium","Sun Apr 19 09:44:19 UTC 2026","passed","Sun Apr 19 09:44:20 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","591","Verify successful movie name input:","chromium","Sun Apr 19 09:44:25 UTC 2026","passed","Sun Apr 19 09:44:26 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","1571","Right Click Button","chromium","Sun Apr 19 09:44:04 UTC 2026","passed","Sun Apr 19 09:44:06 UTC 2026","Button Tests","buttons.spec.ts","",""
"","1094","Get text from a simple browser alert before accepting","chromium","Sun Apr 19 09:43:56 UTC 2026","passed","Sun Apr 19 09:43:57 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","1362","Verify password minimum length validation","chromium","Sun Apr 19 09:44:21 UTC 2026","passed","Sun Apr 19 09:44:23 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","608","Verify input field text can be cleared successfully","chromium","Sun Apr 19 09:44:28 UTC 2026","passed","Sun Apr 19 09:44:29 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","695","Verify the total count of options in the country dropdown","chromium","Sun Apr 19 09:44:10 UTC 2026","passed","Sun Apr 19 09:44:10 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","916","Dismiss a prompt dialog and verify no input is captured","chromium","Sun Apr 19 09:43:59 UTC 2026","passed","Sun Apr 19 09:43:59 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","979","Verify button is clickable and triggers action","chromium","Sun Apr 19 09:44:00 UTC 2026","passed","Sun Apr 19 09:44:01 UTC 2026","Button Tests","buttons.spec.ts","",""
"","752","Fill today's date in the date input and verify the value","chromium","Sun Apr 19 09:44:06 UTC 2026","passed","Sun Apr 19 09:44:06 UTC 2026","Date Picker Tests","datepicker.spec.ts","",""
"","1008","Verify multiple interest checkboxes can be selected","chromium","Sun Apr 19 09:44:23 UTC 2026","passed","Sun Apr 19 09:44:24 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","1451","Verify Fill Again button returns to empty form from success state","chromium","Sun Apr 19 09:44:24 UTC 2026","passed","Sun Apr 19 09:44:25 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","558","Verify text present inside input field matches expected value","chromium","Sun Apr 19 09:44:27 UTC 2026","passed","Sun Apr 19 09:44:28 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","939","Get Button X & Y Coordinates","chromium","Sun Apr 19 09:44:01 UTC 2026","passed","Sun Apr 19 09:44:02 UTC 2026","Button Tests","buttons.spec.ts","",""
"","741","Verify required field errors appear on empty submit","chromium","Sun Apr 19 09:44:12 UTC 2026","passed","Sun Apr 19 09:44:12 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","895","Multi-select: select multiple superheroes","chromium","Sun Apr 19 09:44:16 UTC 2026","passed","Sun Apr 19 09:44:17 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","700","Verify keyboard tab triggers focus change after append","chromium","Sun Apr 19 09:44:26 UTC 2026","passed","Sun Apr 19 09:44:27 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","651","Verify getAttribute returns correct readonly attribute value","chromium","Sun Apr 19 09:44:29 UTC 2026","passed","Sun Apr 19 09:44:30 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","746","Verify a dropdown is enabled and interactable","chromium","Sun Apr 19 09:44:09 UTC 2026","passed","Sun Apr 19 09:44:09 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","855","Get Button Color","chromium","Sun Apr 19 09:44:01 UTC 2026","passed","Sun Apr 19 09:44:02 UTC 2026","Button Tests","buttons.spec.ts","",""
"","872","Double Click Button","chromium","Sun Apr 19 09:44:03 UTC 2026","passed","Sun Apr 19 09:44:04 UTC 2026","Button Tests","buttons.spec.ts","",""
"","1132","Verify selected value is displayed after selection","chromium","Sun Apr 19 09:44:06 UTC 2026","passed","Sun Apr 19 09:44:08 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","1147","Accept a simple browser alert and verify it closes","chromium","Sun Apr 19 09:43:56 UTC 2026","passed","Sun Apr 19 09:43:57 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","727","Verify invalid email format shows validation error","chromium","Sun Apr 19 09:44:12 UTC 2026","passed","Sun Apr 19 09:44:13 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","722","Verify invalid phone number format shows error","chromium","Sun Apr 19 09:44:13 UTC 2026","passed","Sun Apr 19 09:44:14 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","1141","Select the last option from the programming language dropdown","chromium","Sun Apr 19 09:44:08 UTC 2026","passed","Sun Apr 19 09:44:09 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","870","Enter text in a prompt dialog and accept it","chromium","Sun Apr 19 09:43:58 UTC 2026","passed","Sun Apr 19 09:43:59 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","903","Dismiss a confirm dialog and verify dismissed state","chromium","Sun Apr 19 09:43:58 UTC 2026","passed","Sun Apr 19 09:43:58 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","646","Verify disabled input field cannot be edited by user","chromium","Sun Apr 19 09:44:29 UTC 2026","passed","Sun Apr 19 09:44:29 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","814","Disabled Button","chromium","Sun Apr 19 09:44:02 UTC 2026","passed","Sun Apr 19 09:44:03 UTC 2026","Button Tests","buttons.spec.ts","",""
