"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","613","Verify getAttribute returns the correct input value","chromium","Sun Apr 19 10:23:44 UTC 2026","passed","Sun Apr 19 10:23:45 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","682","Verify gender radio button selection","chromium","Sun Apr 19 10:23:31 UTC 2026","passed","Sun Apr 19 10:23:32 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","877","Enter text in a prompt dialog and accept it","chromium","Sun Apr 19 10:23:06 UTC 2026","passed","Sun Apr 19 10:23:07 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","1121","Select the last option from the programming language dropdown","chromium","Sun Apr 19 10:23:15 UTC 2026","passed","Sun Apr 19 10:23:16 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","824","Get Button X & Y Coordinates","chromium","Sun Apr 19 10:23:09 UTC 2026","passed","Sun Apr 19 10:23:10 UTC 2026","Button Tests","buttons.spec.ts","",""
"","580","Fill today's date in the date input and verify the value","chromium","Sun Apr 19 10:23:13 UTC 2026","passed","Sun Apr 19 10:23:14 UTC 2026","Date Picker Tests","datepicker.spec.ts","",""
"","1094","Select 'Apple' from fruit dropdown by visible text","chromium","Sun Apr 19 10:23:14 UTC 2026","passed","Sun Apr 19 10:23:15 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","783","Verify disabled input field cannot be edited by user","chromium","Sun Apr 19 10:23:45 UTC 2026","passed","Sun Apr 19 10:23:46 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","825","Verify toast notification appears after triggering","chromium","Sun Apr 19 10:23:07 UTC 2026","passed","Sun Apr 19 10:23:08 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","827","Multi-select: select multiple superheroes","chromium","Sun Apr 19 10:23:16 UTC 2026","passed","Sun Apr 19 10:23:17 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","816","Disabled Button","chromium","Sun Apr 19 10:23:10 UTC 2026","passed","Sun Apr 19 10:23:11 UTC 2026","Button Tests","buttons.spec.ts","",""
"","1009","Verify successful movie name input:","chromium","Sun Apr 19 10:23:45 UTC 2026","passed","Sun Apr 19 10:23:46 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","774","Verify keyboard tab triggers focus change after append","chromium","Sun Apr 19 10:23:43 UTC 2026","passed","Sun Apr 19 10:23:43 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","893","Close a modal/sweet alert using the Cancel button","chromium","Sun Apr 19 10:23:07 UTC 2026","passed","Sun Apr 19 10:23:08 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","1347","Verify Fill Again button returns to empty form from success state","chromium","Sun Apr 19 10:23:36 UTC 2026","passed","Sun Apr 19 10:23:37 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","1092","Verify selected value is displayed after selection","chromium","Sun Apr 19 10:23:14 UTC 2026","passed","Sun Apr 19 10:23:15 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","645","Verify getAttribute returns correct readonly attribute value","chromium","Sun Apr 19 10:23:46 UTC 2026","passed","Sun Apr 19 10:23:47 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","578","Verify input placeholder disappears on typing","chromium","Sun Apr 19 10:23:42 UTC 2026","passed","Sun Apr 19 10:23:43 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","936","Verify button is clickable and triggers action","chromium","Sun Apr 19 10:23:08 UTC 2026","passed","Sun Apr 19 10:23:09 UTC 2026","Button Tests","buttons.spec.ts","",""
"","939","Verify password minimum length validation","chromium","Sun Apr 19 10:23:35 UTC 2026","passed","Sun Apr 19 10:23:36 UTC 2026","Form Validations","form-validations.spec.ts","",""
